INDV	P1_PHI	P2_PHI	CLASS	QUAL
F1-01A02	0.197531	0.22467	1	25.35
F1-01A03	0.216763	0.252101	1	28.67
F1-01A04	0.192201	0.271984	1	30.77
F1-01A05	0.207059	0.313514	1	25.83
F1-01A06	0.212575	0.213362	1	22.6
F1-01A07	0.203046	0.269084	1	30.59
F1-01A08	0.19837	0.24498	1	29
F1-01A09	0.225464	0.268245	1	27.64
F1-01A10	-0.292887	0.203252	2	999.00
F1-01A11	0.20977	0.213389	1	22.71
F1-01A12	0	0	2	999.00
F1-01B01	0.21123	0.259921	1	29.75
F1-01B03	0.208531	0.320652	1	24.01
F1-01B04	0.202469	0.308411	1	27.35
F1-01B05	0.210938	0.266537	1	29.95
F1-01B06	0.201613	0.258964	1	30.3
F1-01B07	0.187342	0.299048	1	29.27
F1-01B08	0.183529	0.331532	1	23.15
F1-01B09	0.195704	0.296903	1	29.47
F1-01B10	0.0220386	0.403651	2	88.72
F1-01B11	0.181586	0.299424	1	28.98
F1-01B12	0.1875	0.254864	1	29.61
F1-01C01	-0.0247253	0.404858	2	148.08
F1-01C02	0.184615	0.290385	1	29.94
F1-01C03	0.205263	0.24902	1	29.38
F1-01C04	0.192771	0.310092	1	27.68
F1-01C05	0.180952	0.303636	1	28.45
F1-01C06	0.137931	0.319527	1	17.37
F1-01C07	0.238845	0.250489	1	24.01
F1-01C08	0.196891	0.26938	1	30.78
F1-01C09	0.227384	0.274583	1	27.01
F1-01C10	0.169972	0.244306	1	25.55
F1-01C11	0.20339	0.279926	1	30.39
F1-01C12	0.190736	0.263581	1	30.46
F1-01D01	0.162983	0.24187	1	23.38
F1-01D02	0.192201	0.241309	1	28.23
F1-01D03	0.161202	0.274194	1	26.65
F1-01D04	0.208075	0.216814	1	23.62
F1-01D05	0.174387	0.255533	1	28.01
F1-01D06	0.170213	0.278656	1	28.65
F1-01D07	0.183623	0.307692	1	28.03
F1-01D08	0.179412	0.229787	1	24.53
F1-01D09	0.19171	0.26938	1	30.71
F1-01D10	0.154034	0.332096	1	19.65
F1-01D11	0.167598	0.256148	1	26.73
F1-01D12	0.221963	0.293907	1	26.48
F1-01E01	0.160976	0.311111	1	24.86
F1-01E02	0.231579	0.235294	1	24.43
F1-01E03	0.116618	0.276956	1	9.28
F1-01E04	0.177215	0.274286	1	29.66
F1-01E05	0.2	0.208602	1	21.24
F1-01E06	0.199501	0.295669	1	29.42
F1-01E07	0.167089	0.291429	1	27.83
F1-01E08	0.192857	0.303636	1	28.69
F1-01E09	0.173804	0.301708	1	28.02
F1-01E10	0.228261	0.246988	1	26.37
F1-01E11	0.254642	0.246548	1	18.47
F1-01E12	0.185567	0.277992	1	30.48
F1-01F01	0.160401	0.281664	1	26.63
F1-01F02	0.201592	0.254438	1	29.99
F1-01F04	0.230539	0.217672	1	21.57
F1-01F05	0.156695	0.257796	1	24.08
F1-01F06	0.210959	0.244444	1	28.55
F1-01F07	0.207547	0.243513	1	28.65
F1-01F08	0.199495	0.252852	1	29.88
F1-01F09	0.130751	0.322284	1	14.33
F1-01F10	0.166667	0.304833	1	26.67
F1-01F11	0.197044	0.29291	1	29.83
F1-01F12	0.203837	0.312614	1	26.42
F1-01G01	0.173184	0.272541	1	29.03
F1-01G02	0.191977	0.250522	1	29.45
F1-01G03	0.19797	0.28626	1	30.34
F1-01G04	0.186528	0.286822	1	30.25
F1-01G05	0.209115	0.254473	1	29.62
F1-01G06	0.219949	0.287908	1	27.61
F1-01G07	0.169451	0.306011	1	26.96
F1-01G08	0.224324	0.266	1	27.9
F1-01G09	0.17931	0.313274	1	26.92
F1-01G10	0.209091	0.322807	1	23.38
F1-01G11	0.189333	0.259406	1	30.13
F1-01G12	0.186701	0.291747	1	29.94
F1-01H01	0.227603	0.279926	1	26.63
F1-01H02	0.206044	0.265182	1	30.35
F1-01H03	0.201439	0.296161	1	29.24
F1-01H04	0.15	0.217778	1	12.99
F1-01H05	0.226913	0.265226	1	27.36
F1-01H06	0.170667	0.269307	1	28.46
F1-01H07	0.195195	0.205184	1	19.85
F1-01H08	0.180593	0.267465	1	29.84
F1-01H09	0.17233	0.298893	1	28.12
F1-01H10	0.147945	0.280808	1	23.05
F1-01H11	0.222826	0.236948	1	26.25
F1-01H12	0	0	2	999.00
F1-02A01	0.238889	0.236735	1	22.86
F1-02A02	0.182065	0.263052	1	29.76
F1-02A03	0.2	0.282692	1	30.46
F1-02A04	0.162534	0.273834	1	26.96
F1-02A05	0.202156	0.255489	1	30.06
F1-02A06	0.17801	0.294922	1	29.11
F1-02A07	0.211886	0.247582	1	28.81
F1-02A08	0.187179	0.301923	1	28.92
F1-02B01	0.146154	0.282692	1	22.49
F1-02B02	0.212766	0.264822	1	29.73
F1-02B03	0.167866	0.310786	1	26.1
F1-02B04	0.15736	0.29771	1	25.41
F1-02B05	0.22335	0.253817	1	27.78
F1-02B06	0.17094	0.232848	1	23.52
F1-02B07	0.205882	0.271375	1	30.42
F1-02B08	0.201856	0.340463	1	19.37
F1-02C01	0.182254	0.305302	1	28.31
F1-02C02	0.219451	0.27307	1	28.69
F1-02C03	0.194915	0.233471	1	27.05
F1-02C04	0.206304	0.223382	1	25.2
F1-02C05	0.216374	0.199153	1	18.28
F1-02C06	0.166667	0.268145	1	27.6
F1-02C07	0.195122	0.3	1	29.11
F1-02C08	0.182716	0.308411	1	27.88
F1-02D01	0.189904	0.29304	1	29.92
F1-02D02	0.119632	0.243421	1	6.18
F1-02D03	0.226131	0.265152	1	27.53
F1-02D04	0.205263	0.270588	1	30.47
F1-02D05	0.191601	0.270059	1	30.73
F1-02D06	0.168901	0.258449	1	27.27
F1-02D07	0.180203	0.307252	1	27.92
